Estación,Date,Latitud,Longitud,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B8A,NDWI,NDMI,MSI,NMDI,GVMI,SRWI,Humedad_Suelo
Avondale-2-N,2023-12-11,39.8593,-75.7861,0.1476,0.1052,0.0715,0.0495,0.0609,0.0859,0.0961,0.0912,0.0974,0.0366,0.001,0.0514,0.0273,-0.12108174,0.97830796,0.010964912,0.9860724,0.80207354,1.2755245,0.412
Asheville-13-S,2024-05-20,35.4185,-82.5567,0.1274,0.1053,0.111,0.094,0.1416,0.2845,0.3392,0.3225,0.3813,0.1054,0.0013,0.2486,0.128,-0.48788926,0.9919703,0.004031008,0.9954578,0.9040109,2.9054053,0.34
Asheville-13-S,2022-10-03,35.4185,-82.5567,0.2705,0.1957,0.1878,0.1768,0.231,0.3466,0.3905,0.3855,0.4319,0.1579,0.0016,0.3263,0.2451,-0.34484565,0.99173343,0.0041504535,0.99551445,0.9148097,2.0527158,0.189
Avondale-2-N,2023-11-06,39.8593,-75.7861,0.1476,0.1143,0.0959,0.0867,0.1182,0.1921,0.2282,0.2095,0.2691,0.0945,0.0102,0.2019,0.1096,-0.37197116,0.90714616,0.048687354,0.95161295,0.822196,2.1845672,0.253
Avondale-2-N,2019-12-02,39.8593,-75.7861,0.5435,0.4994,0.4308,0.457,0.4616,0.4738,0.4878,0.4578,0.495,0.1692,0.0029,0.3488,0.2482,-0.030384887,0.9874104,0.006334644,0.99283504,0.9211297,1.0626742,0.382
Asheville-13-S,2024-04-15,35.4185,-82.5567,0.1376,0.1108,0.1145,0.1106,0.1492,0.2643,0.3048,0.2972,0.3426,0.1134,0.0016,0.297,0.1624,-0.4437697,0.98929054,0.00538358,0.9946291,0.8968481,2.595633,0.297
Asheville-13-S,2022-08-29,35.4185,-82.5567,0.1344,0.1052,0.1087,0.0673,0.1219,0.3408,0.4399,0.4071,0.4903,0.0709,0.001,0.2399,0.0963,-0.57851875,0.9950993,0.0024563991,0.99691355,0.9204696,3.74517,0.235
Baker-5-W,2018-06-25,39.0118,-114.209,0.1611,0.1706,0.1748,0.1952,0.2171,0.2527,0.2738,0.2596,0.2874,0.1528,0.0034,0.2962,0.2287,-0.19521183,0.9741445,0.013097072,0.9878397,0.8778067,1.485126,0.02
Avondale-2-N,2023-10-02,39.8593,-75.7861,0.1212,0.0946,0.0876,0.0597,0.1081,0.2512,0.3102,0.2841,0.3611,0.0635,0.0011,0.1952,0.089,-0.5286522,0.9922861,0.003871876,0.99542046,0.8958538,3.2431507,0.326
Avondale-2-N,2019-10-28,39.8593,-75.7861,0.125,0.0958,0.083,0.0762,0.1095,0.1584,0.1817,0.1825,0.2116,0.0737,0.0014,0.2369,0.1464,-0.37476462,0.9847744,0.0076712323,0.99334604,0.8591642,2.1987953,0.362
Asheville-13-S,2024-03-11,35.4185,-82.5567,0.1354,0.1129,0.1107,0.1119,0.1416,0.225,0.2594,0.2647,0.2861,0.2007,0.0118,0.2903,0.18,-0.4102291,0.91464746,0.044578772,0.95836276,0.83959645,2.3911474,0.308
Asheville-13-S,2024-02-05,35.4185,-82.5567,0.1293,0.1064,0.0906,0.1007,0.1218,0.1565,0.1747,0.1721,0.1951,0.104,0.002,0.2249,0.1441,-0.3102398,0.9770247,0.011621151,0.9899749,0.8503911,1.8995584,0.279
Asheville-13-S,2022-06-20,35.4185,-82.5567,0.1205,0.103,0.1087,0.0983,0.1397,0.2636,0.3153,0.324,0.3626,0.0951,0.0011,0.2642,0.135,-0.49757335,0.99323285,0.0033950617,0.9962667,0.90518975,2.9806807,0.152
Baker-5-W,2018-04-16,39.0118,-114.209,0.1712,0.1634,0.1661,0.1839,0.2027,0.2313,0.2422,0.2389,0.2571,0.1608,0.0068,0.2783,0.2185,-0.17975311,0.94464797,0.028463792,0.9740458,0.85343176,1.4382902,0.06
Avondale-2-N,2023-07-24,39.8593,-75.7861,0.1351,0.1047,0.1062,0.0649,0.1244,0.3133,0.3965,0.3675,0.4293,0.0589,0.0014,0.2324,0.1006,-0.55161494,0.9924099,0.0038095235,0.99534345,0.9124565,3.460452,0.287
